,,,,,
University,Location,State,Applicability of Section 12 (B)?,Established,Specialization
A.P. University of Law,Andhra Pradesh,Visakhapatnam,No,2008,Legal
Acharya N. G. Ranga Agricultural University,,Hyderabad,Yes,1964,Agricultural science
Acharya Nagarjuna University,,Guntur,Yes,1976,General
Adikavi Nannaya University,,Rajahmundry,No,2006,General
Andhra Pradesh Open University,,Hyderabad,Yes,1982,Distance education
Andhra University,,Visakhapatnam,Yes,1926,General
"Dr. B.R. Ambedkar University, Srikakulam",,Etcherla,No,2008,General
"Dr. Nandamuri Taraka Rama Rao University of Health Sciences, Andhra Pradesh",,Vijayawada,No,1986,Healthcare
Dravidian University,,Kuppam,Yes,1997,Dravidian languages
Jawaharlal Nehru Architecture and Fine Arts University,,Hyderabad,No,2008,"Architecture, fine arts"
"Jawaharlal Nehru Technological University, Anantapur",,Anantapur,Yes,2008,Technology
"Jawaharlal Nehru Technological University, Hyderabad",,Hyderabad,Yes,1972,Technology
"Jawaharlal Nehru Technological University, Kakinada",,Kakinada,Yes,2008,Technology
Kakatiya University,,Warangal,Yes,1976,General
Krishna University,,Machilipatnam,No,2008,General
"Mahatma Gandhi University, Nalgonda",,Nalgonda,No,2007,General
National Academy of Legal Studies and Research,,Hyderabad,Yes,1999,Legal
Osmania University,,Hyderabad,Yes,1908,General
Palamuru University,,Mahabubnagar,No,2008,General
Potti Sreeramulu Telugu University,,Hyderabad,Yes,1985,Telugu
Rajiv Gandhi University of Knowledge Technologies,,Hyderabad,No,2008,Technology
Rayalaseema University,,Kurnool,No,2008,General
Satavahana University,,Karimnagar,No,2008,General
Sri Krishnadevaraya University,,Anantapur,Yes,1981,General
Sri Padmavati Mahila Visvavidyalayam,,Tirupati,Yes,1983,Women's only
Sri Venkateswara Institute of Medical Sciences,,Tirupati,Yes,1993,Medical
Sri Venkateswara University,,Tirupati,Yes,1954,General
Sri Venkateswara Vedic University,,Tirupati,No,2006,Vedic studies
Sri Venkateswara Veterinary University,,Tirupati,No,2005,Veterinary school
Telangana University,,Nizamabad,Yes,2006,General
Vikrama Simhapuri University,,Nellore,No,2008,General
Yogi Vemana University,,Kadapa,Yes,2006,General
Assam Agricultural University,Assam,Jorhat,Yes,1968,Agriculture
Dibrugarh University,,Dibrugarh,Yes,1965,General
Gauhati University,,Guwahati,Yes,1948,General
Krishna Kanta Handique State Open University,,Guwahati,No,2007,Distance education
Aryabhatta Knowledge University,Bihar,Patna,Yes,2010,Technology
B. R. Ambedkar Bihar University,,Muzzafarpur,Yes,1952,General
Bhupendra Narayan Mandal University,,Madhepura,Yes,1993,General
Chanakya National Law University,,Patna,Yes,2006,Legal
Jai Prakash University,,Chhapra,Yes,1995,General
Kameshwar Singh Darbhanga Sanskrit University,,Darbhanga,Yes,1961,Sanskrit
Lalit Narayan Mithila University,,Darbhanga,Yes,1972,General
Magadh University,,"Gaya, India",Yes,1962,General
Maulana Mazharul Haque Arabic and Persian University,,Patna,No,2004,"Arabic, Persian"
Nalanda Open University,,Patna,No,1995,Distance education
Patna University,,Patna,Yes,1917,General
Rajendra Agricultural University,,Pusa,Yes,1970,Agriculture
Tilka Manjhi Bhagalpur University,,Bhagalpur,Yes,1960,General
Veer Kunwar Singh University,,Arrah,Yes,1994,General
"Panjab University, Chandigarh",Chandigarh,Chandigarh,Yes,1947,General
Ayush and Health Sciences University of Chhattisgarh,Chhattisgarh,Raipur,No,2008,Healthcare
Bastar University,,Jagdalpur,No,2008,General
Chhattisgarh Swami Vivekanand Technical University,,Bhilai,No,2004,Technology
Hidayatullah National Law University,,Raipur,Yes,2003,Legal
Indira Gandhi Agricultural University,,Raipur,Yes,1987,Agriculture
Indira Kala Sangeet University,,Khairagarh,Yes,1956,Music
Kushabhau Thakre Patrakarita Avam Jansanchar University,,Raipur,No,2004,Journalism
Pandit Ravishankar Shukla University,,Raipur,Yes,1964,General
Pandit Sundarlal Sharma (Open) University,,Bilaspur,No,2004,Distance education
Sarguja University,,Ambikapur,No,2008,General
Bharat Ratna Dr. B. R. Ambedkar University,Delhi,New Delhi,No,2007,"Social sciences, humanities"
Delhi Technological University,,Delhi,No,2009,Technology
Guru Gobind Singh Indraprastha University,,Delhi,Yes,1998,General
Indraprastha Institute of Information Technology,,New Delhi,No,2008,Information technology
"National Law University, Delhi",,New Delhi,Yes,2008,Legal
Goa University,Goa,Goa,Yes,1985,General
Anand Agricultural University,Gujarat,Anand,No,2004,Agriculture
Maharaja Krishnakumarsinhji Bhavnagar University,,Bhavnagar,Yes,1978,General
"Rai University, Ahmedabad",,Ahmedabad,No,2012,General
,,,,,
,,,but,,
,,,2(f),,
,,,Sec.3,,
,,,,,
Centre for Environmental and Planning Technology University,,Ahmedabad,No,2005,Architecture
Dharamsinh Desai University,,Nadiad,Yes,2000,General
Dr. Babasaheb Ambedkar Open University,,Ahmedabad,No,1995,Distance education
Gujarat Ayurved University,,Jamnagar,Yes,1968,Ayurveda
Gujarat Forensic Sciences University,,Gandhinagar,No,2008,Forensic science
Gujarat National Law University,,Gandhinagar,Yes,2003,Legal
Gujarat Technological University,,Ahmedabad,No,2007,Technology
Gujarat University,,Ahmedabad,Yes,1950,General
Hemchandracharya North Gujarat University,,Patan,Yes,1986,General
Krantiguru Shyamji Krishna Verma Kachchh University,,Bhuj,No,2004,General
Maharaja Sayajirao University of Baroda,,Vadodara,Yes,1949,General
Sardar Patel University,,Vallabh Vidhyanagar,Yes,1955,General
Sardarkrushinagar Dantiwada Agricultural University,,Palanpur,Yes,1972,Agriculture
Saurashtra University,,Rajkot,Yes,1955,General
Shree Somnath Sanskrit University,,Veraval,No,2005,Sanskrit
Veer Narmad South Gujarat University,,Surat,Yes,1965,General
Bhagat Phool Singh Mahila Vishwavidyalaya,Haryana,Sonipat,Yes,2006,Women's only
Chaudhary Charan Singh Haryana Agricultural University,,Hisar,Yes,1970,Agriculture
Chaudhary Devi Lal University,,Sirsa,Yes,2003,General
Deenbandhu Chhotu Ram University of Science and Technology,,Murthal,Yes,2006,Technology
Guru Jambheshwar University of Science and Technology,,Hisar,Yes,1995,"Science, technology"
Kurukshetra University,,Kurukshetra,Yes,1956,General
Lala Lajpat Rai University of Veterinary and Animal Sciences,,Hisar,No,2010,Veterinary medicine
Maharishi Dayanand University,,Rohtak,Yes,1976,General
Pandit Bhagwat Dayal Sharma University of Health Sciences,,Rohtak,Yes,2008,Healthcare
YMCA University of Science and Technology,,Faridabad,Yes,2009,Technology
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Himachal Pradesh,Palampur,Yes,1978,Agriculture
Dr. Yashwant Singh Parmar University of Horticulture and Forestry,,Solan,Yes,1986,"Horticulture, forestry"
Himachal Pradesh Technical University,,Hamirpur,Yes,2010,Technology
Himachal Pradesh University,,Shimla,Yes,1970,General
Baba Ghulam Shah Badhshah University,Jammu and Kashmir,Rajauri,Yes,2005,General
Islamic University of Science and Technology,,Pulwama,No,2005,"Science, technology"
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,,Srinagar,Yes,1982,Agriculture
Shri Mata Vaishno Devi University,,Katra,Yes,2004,"Science, technology"
University of Jammu,,Jammu,Yes,1968,General
University of Kashmir,,Srinagar,Yes,1949,General
Birsa Agricultural University,Jharkhand,Ranchi,Yes,1980,Agriculture
Kolhan University,,Chaibasa,No,2007,General
National University of Study and Research in Law,,Ranchi,No,2010,Legal
Nilamber-Pitamber University,,Palamu,No,2007,General
Ranchi University,,Ranchi,Yes,1960,General
Sido Kanhu University,,Dumka,Yes,1992,General
Vinoba Bhave University,,Hazaribagh,Yes,1993,General
Bangalore University,Karnataka,Bangalore,Yes,1964,General
Davangere University,,Davangere,Yes,2009,General
Gulbarga University,,Gulbarga,Yes,1980,General
Kannada University,,Hampi,Yes,1992,Kannada
Karnatak University,,Dharwad,Yes,1949,General
Karnataka Samskrit University,,Bangalore,No,2010,Sanskrit
Karnataka State Law University,,Hubli,No,2009,Legal
Karnataka State Open University,,Mysore,No,1996,Distance education
Karnataka State Women's University,,Bijapur,Yes,2004,Women's only
"Karnataka Veterinary, Animal and Fisheries Sciences University",,Bidar,No,2004,Veterinary
KSGH Music and Performing Arts University,,Mysore,No,2009,Performing arts
Kuvempu University,,Shimoga,Yes,1987,General
Mangalore University,,Konaje,Yes,1980,General
National Law School of India University,,Bangalore,Yes,1992,Legal
Rajiv Gandhi University of Health Sciences,,Bangalore,No,1994,Healthcare
Rani Channamma University,,Belgaum,No,2010,General
Tumkur University,,Tumkur,No,2004,General
"University of Agricultural Sciences, Bangalore",,Bangalore,Yes,1964,Agricultural sciences
"University of Agricultural Sciences, Dharwad",,Dharwad,Yes,1986,Agricultural sciences
University of Mysore,,Mysore,Yes,1916,General
Visvesvaraya Technological University,,Belgaum,No,1999,Technology
Vijayanagara Sri Krishnadevaraya University,,Bellary,No,2010,General
Calicut University,Kerala,Tenhipalam,Yes,1968,General
Cochin University of Science and Technology,,Kalamassery,Yes,1971,Technology
Kannur University,,Kannur,Yes,1997,General
Kerala Agricultural University,,Thrissur,Yes,1972,Agriculture
Kerala University of Fisheries and Ocean Studies,,Kochi,Yes,2011,"Fisheries, oceanography"
Kerala University of Health Sciences,,Thrissur,Yes,2011,Healthcare
Kerala Veterinary and Animal Sciences University,,Wayanad,Yes,2011,"Veterinary, animal sciences"
Mahatma Gandhi University,,Kottayam,Yes,1983,General
National University of Advanced Legal Studies,,Kochi,No,2009,Legal
Sree Sankaracharya University of Sanskrit,,Kalady,Yes,1994,Sanskrit
University of Kerala,,Thiruvananthapuram,Yes,1937,General
Awdhesh Pratap Singh University,Madhya Pradesh,Rewa,Yes,1968,General
Barkatullah University,,Bhopal,Yes,1970,General
Devi Ahilya University,,Indore,Yes,1964,General
Jawaharlal Nehru Agricultural University,,Jabalpur,Yes,1964,Agriculture
Jiwaji University,,Gwalior,Yes,1964,General
Madhya Pradesh Bhoj Open University,,Bhopal,Yes,1995,Distance education
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,,Katni,No,1995,General
Maharshi Panini Sanskrit University,,Ujjain,No,2008,Sanskrit
Mahatma Gandhi Chitrakoot Gramoday University,,Chitrakoot,Yes,1993,General
Makhanlal Chaturvedi National University of Journalism,,Bhopal,No,1991,"Journalism, communication"
National Law Institute University,,Bhopal,Yes,1998,Legal
Rajiv Gandhi Technical University,,Bhopal,Yes,2004,Technology
Rani Durgavati University,,Jabalpur,Yes,1957,General
Madhya Pradesh Pashu-Chikitsa Vigyan Vishwavidyalaya,,Jabalpur,No,2009,"Veterinary, fishery"
Vikram University,,Ujjain,Yes,1957,General
Dr. Babasaheb Ambedkar Marathwada University,Maharashtra,Aurangabad,Yes,1958,General
Dr. Babasaheb Ambedkar Technological University,,Lonere,Yes,1989,Technology
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,,Dapoli,Yes,1972,Agriculture
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,,Akola,Yes,1969,Agriculture
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,,Nagpur,No,1997,Sanskrit
Maharashtra Animal and Fishery Sciences University,,Nagpur,No,2002,"Veterinary, fishery"
Maharashtra University of Health Sciences,,Nashik,No,2000,Healthcare
Mahatma Phule Krishi Vidyapeeth,,Rahuri,Yes,1968,Agriculture
